Model,scaler,Feat Selection,Type,Num of Features,Train_Accuracy_CV,Val_Accuracy_CV,Train_F1_CV,Val_F1_CV,Val_Sensitivity_CV,Val_Specificity_CV,Val_AUC_CV,Accuracy_All_X,F1_All_X,Sensitivity_All_X,Specificity_All_X,AUC_All_X
LogisticRegression,StandardScaler,PCA,CV,12,0.9148394241417497,0.72,0.9136481193389097,0.6649206349206349,0.72,0.8916666666666666,0.4958333333333333,,,,,
LogisticRegression,StandardScaler,PCA,All_data,20,,,,,,,,0.9574468085106383,0.9556426527311185,0.9574468085106383,1.0,0.9
LogisticRegression,StandardScaler,FPR,CV,78,0.9976744186046511,0.685,0.9976228711909435,0.6844444444444445,0.685,0.7416666666666667,0.6208333333333333,,,,,
LogisticRegression,StandardScaler,FPR,All_data,75,,,,,,,,1.0,1.0,1.0,1.0,1.0
LogisticRegression,StandardScaler,Lasso,CV,1,0.8178848283499447,0.7150000000000001,0.801273274164172,0.6741269841269842,0.7150000000000001,0.85,0.525,,,,,
LogisticRegression,StandardScaler,Lasso,All_data,2,,,,,,,,0.8297872340425532,0.7996960486322189,0.8297872340425532,0.972972972972973,0.6364864864864865
LogisticRegression,RobustScaler,PCA,CV,11,0.8769656699889259,0.7,0.8705827453726472,0.6506349206349207,0.7,0.8666666666666666,0.4833333333333333,,,,,
LogisticRegression,RobustScaler,PCA,All_data,18,,,,,,,,0.9574468085106383,0.9556426527311185,0.9574468085106383,1.0,0.9
LogisticRegression,RobustScaler,FPR,CV,78,0.9906423034330011,0.665,0.990435401482024,0.6331746031746031,0.665,0.7416666666666666,0.5708333333333334,,,,,
LogisticRegression,RobustScaler,FPR,All_data,75,,,,,,,,1.0,1.0,1.0,1.0,1.0
LogisticRegression,RobustScaler,Lasso,CV,4,0.8557585825027685,0.72,0.8445588183221849,0.6773015873015872,0.72,0.8583333333333332,0.5291666666666667,,,,,
LogisticRegression,RobustScaler,Lasso,All_data,3,,,,,,,,0.8297872340425532,0.8128750681942171,0.8297872340425532,0.9459459459459459,0.672972972972973
RandomForestClassifier,StandardScaler,PCA,CV,12,0.8913067552602436,0.785,0.8732945271101851,0.6906349206349205,0.785,1.0,0.5,,,,,
RandomForestClassifier,StandardScaler,PCA,All_data,20,,,,,,,,0.9361702127659575,0.931781610129545,0.9361702127659575,1.0,0.85
RandomForestClassifier,StandardScaler,FPR,CV,78,0.9220376522702104,0.78,0.9142555307995128,0.7052380952380952,0.78,0.9666666666666666,0.5333333333333333,,,,,
RandomForestClassifier,StandardScaler,FPR,All_data,75,,,,,,,,0.9148936170212766,0.9064375340971086,0.9148936170212766,1.0,0.8
RandomForestClassifier,StandardScaler,Lasso,CV,1,0.8250276854928018,0.7150000000000001,0.807252439394728,0.6741269841269842,0.7150000000000001,0.85,0.525,,,,,
RandomForestClassifier,StandardScaler,Lasso,All_data,2,,,,,,,,0.8297872340425532,0.7996960486322189,0.8297872340425532,0.972972972972973,0.6364864864864865
RandomForestClassifier,RobustScaler,PCA,CV,11,0.8912513842746401,0.785,0.8727187172581512,0.6906349206349205,0.785,1.0,0.5,,,,,
RandomForestClassifier,RobustScaler,PCA,All_data,18,,,,,,,,0.8936170212765957,0.8792530747822963,0.8936170212765957,1.0,0.75
RandomForestClassifier,RobustScaler,FPR,CV,78,0.9244739756367663,0.78,0.9170376152558086,0.7052380952380952,0.78,0.9666666666666666,0.5333333333333333,,,,,
RandomForestClassifier,RobustScaler,FPR,All_data,75,,,,,,,,0.8936170212765957,0.8792530747822963,0.8936170212765957,1.0,0.75
RandomForestClassifier,RobustScaler,Lasso,CV,4,0.8675526024363233,0.74,0.84724119760881,0.6776190476190477,0.74,0.9083333333333332,0.5041666666666667,,,,,
RandomForestClassifier,RobustScaler,Lasso,All_data,3,,,,,,,,0.8723404255319149,0.849772036474164,0.8723404255319149,1.0,0.7
XGBClassifier,StandardScaler,PCA,CV,12,1.0,0.735,1.0,0.6798412698412698,0.735,0.9083333333333332,0.5041666666666667,,,,,
XGBClassifier,StandardScaler,PCA,All_data,20,,,,,,,,1.0,1.0,1.0,1.0,1.0
XGBClassifier,StandardScaler,FPR,CV,78,1.0,0.675,1.0,0.6401587301587301,0.675,0.8333333333333334,0.4666666666666666,,,,,
XGBClassifier,StandardScaler,FPR,All_data,75,,,,,,,,1.0,1.0,1.0,1.0,1.0
XGBClassifier,StandardScaler,Lasso,CV,1,0.839202657807309,0.675,0.8280953574129264,0.6519047619047619,0.675,0.8,0.5,,,,,
XGBClassifier,StandardScaler,Lasso,All_data,2,,,,,,,,0.851063829787234,0.8309543046952151,0.851063829787234,0.972972972972973,0.6864864864864866
XGBClassifier,RobustScaler,PCA,CV,11,1.0,0.685,1.0,0.632063492063492,0.685,0.85,0.475,,,,,
XGBClassifier,RobustScaler,PCA,All_data,18,,,,,,,,1.0,1.0,1.0,1.0,1.0
XGBClassifier,RobustScaler,FPR,CV,78,1.0,0.675,1.0,0.6401587301587301,0.675,0.8333333333333334,0.4666666666666666,,,,,
XGBClassifier,RobustScaler,FPR,All_data,75,,,,,,,,1.0,1.0,1.0,1.0,1.0
XGBClassifier,RobustScaler,Lasso,CV,4,0.910188261351052,0.6849999999999999,0.9020714662048587,0.6599999999999999,0.6849999999999999,0.8166666666666667,0.5083333333333333,,,,,
XGBClassifier,RobustScaler,Lasso,All_data,3,,,,,,,,0.9148936170212766,0.9064375340971086,0.9148936170212766,1.0,0.8
