Model,scaler,Feat Selection,Type,Num of Features,Train_Accuracy_CV,Val_Accuracy_CV,Train_F1_CV,Val_F1_CV,Val_Sensitivity_CV,Val_Specificity_CV,Val_AUC_CV,Accuracy_All_X,F1_All_X,Sensitivity_All_X,Specificity_All_X,AUC_All_X
LogisticRegression,StandardScaler,PCA,CV,13,0.8653377630121817,0.605,0.8622753131713375,0.5914285714285714,0.605,0.7083333333333333,0.5041666666666667,,,,,
LogisticRegression,StandardScaler,PCA,All_data,22,,,,,,,,0.9787234042553191,0.9783625487501908,0.9787234042553191,1.0,0.9545454545454546
LogisticRegression,StandardScaler,FPR,CV,82,1.0,0.67,1.0,0.6580952380952381,0.67,0.7416666666666666,0.5958333333333334,,,,,
LogisticRegression,StandardScaler,FPR,All_data,81,,,,,,,,1.0,1.0,1.0,1.0,1.0
LogisticRegression,StandardScaler,Lasso,CV,2,0.8556478405315614,0.645,0.8427136976078218,0.5952380952380951,0.645,0.8166666666666667,0.45833333333333337,,,,,
LogisticRegression,StandardScaler,Lasso,All_data,2,,,,,,,,0.8297872340425532,0.8044189852700491,0.8297872340425532,0.9722222222222222,0.667929292929293
LogisticRegression,RobustScaler,PCA,CV,3,0.7824473975636765,0.745,0.7044082197653398,0.6534126984126983,0.745,0.975,0.4875,,,,,
LogisticRegression,RobustScaler,PCA,All_data,7,,,,,,,,0.7659574468085106,0.6979450809238045,0.7659574468085106,0.9722222222222222,0.5315656565656566
LogisticRegression,RobustScaler,FPR,CV,82,1.0,0.62,1.0,0.6039682539682539,0.62,0.725,0.48749999999999993,,,,,
LogisticRegression,RobustScaler,FPR,All_data,81,,,,,,,,1.0,1.0,1.0,1.0,1.0
LogisticRegression,RobustScaler,Lasso,CV,8,0.8748615725359912,0.7300000000000001,0.8692819375303907,0.6923015873015872,0.7300000000000001,0.875,0.5875,,,,,
LogisticRegression,RobustScaler,Lasso,All_data,7,,,,,,,,0.8297872340425532,0.8235767682576193,0.8297872340425532,0.9166666666666666,0.731060606060606
RandomForestClassifier,StandardScaler,PCA,CV,13,0.9315614617940199,0.765,0.9260998343056839,0.6645238095238094,0.765,1.0,0.5,,,,,
RandomForestClassifier,StandardScaler,PCA,All_data,22,,,,,,,,0.9574468085106383,0.9558941920644048,0.9574468085106383,1.0,0.9090909090909092
RandomForestClassifier,StandardScaler,FPR,CV,82,0.9858250276854928,0.745,0.985559972341609,0.6534126984126983,0.745,0.975,0.4875,,,,,
RandomForestClassifier,StandardScaler,FPR,All_data,81,,,,,,,,1.0,1.0,1.0,1.0,1.0
RandomForestClassifier,StandardScaler,Lasso,CV,2,0.8816722037652269,0.725,0.8764876044799929,0.6569047619047618,0.725,0.925,0.5125,,,,,
RandomForestClassifier,StandardScaler,Lasso,All_data,2,,,,,,,,0.851063829787234,0.8485378412513359,0.851063829787234,0.9166666666666666,0.7765151515151514
RandomForestClassifier,RobustScaler,PCA,CV,3,0.8250830564784053,0.745,0.7748657590663514,0.6534126984126983,0.745,0.975,0.4875,,,,,
RandomForestClassifier,RobustScaler,PCA,All_data,7,,,,,,,,0.851063829787234,0.8229104946584074,0.851063829787234,1.0,0.6818181818181819
RandomForestClassifier,RobustScaler,FPR,CV,82,0.990531561461794,0.745,0.9902509752207409,0.6534126984126983,0.745,0.975,0.4875,,,,,
RandomForestClassifier,RobustScaler,FPR,All_data,81,,,,,,,,1.0,1.0,1.0,1.0,1.0
RandomForestClassifier,RobustScaler,Lasso,CV,8,0.896124031007752,0.73,0.8837028623253012,0.6815079365079365,0.73,0.9,0.55,,,,,
RandomForestClassifier,RobustScaler,Lasso,All_data,7,,,,,,,,0.851063829787234,0.8229104946584074,0.851063829787234,1.0,0.6818181818181819
XGBClassifier,StandardScaler,PCA,CV,13,1.0,0.75,1.0,0.699126984126984,0.75,0.9,0.6,,,,,
XGBClassifier,StandardScaler,PCA,All_data,22,,,,,,,,1.0,1.0,1.0,1.0,1.0
XGBClassifier,StandardScaler,FPR,CV,82,1.0,0.7050000000000001,1.0,0.6499999999999998,0.7050000000000001,0.9,0.475,,,,,
XGBClassifier,StandardScaler,FPR,All_data,81,,,,,,,,1.0,1.0,1.0,1.0,1.0
XGBClassifier,StandardScaler,Lasso,CV,2,0.9503322259136212,0.665,0.9509841437651962,0.6239682539682538,0.665,0.8416666666666666,0.4708333333333334,,,,,
XGBClassifier,StandardScaler,Lasso,All_data,2,,,,,,,,0.9361702127659575,0.937108311292361,0.9361702127659575,0.9444444444444444,0.9267676767676767
XGBClassifier,RobustScaler,PCA,CV,3,0.9692137320044297,0.75,0.9678754886353149,0.7157936507936509,0.75,0.8666666666666668,0.6333333333333333,,,,,
XGBClassifier,RobustScaler,PCA,All_data,7,,,,,,,,1.0,1.0,1.0,1.0,1.0
XGBClassifier,RobustScaler,FPR,CV,82,1.0,0.7050000000000001,1.0,0.6499999999999998,0.7050000000000001,0.9,0.475,,,,,
XGBClassifier,RobustScaler,FPR,All_data,81,,,,,,,,1.0,1.0,1.0,1.0,1.0
XGBClassifier,RobustScaler,Lasso,CV,8,1.0,0.725,1.0,0.7032539682539681,0.725,0.8166666666666667,0.6583333333333334,,,,,
XGBClassifier,RobustScaler,Lasso,All_data,7,,,,,,,,1.0,1.0,1.0,1.0,1.0
