Model,Target,scaler,Feat Selection,Type,Num of Features,Train_R2_CV,Adj_Train_R2_CV,Val_R2_CV,Adj_Val_R2_CV,Train_RMSE_CV,Val_RMSE_CV,R2(All_X),Adj_R2(All_X),rmse(All_X)
LinearRegression,DERStotmA,StandardScaler,PCA,CV,42,0.6986466848572597,0.7548038920824444,-30.60960187151835,4.296596250126819,0.10916393845645647,0.8993927920079829,,,
LinearRegression,DERStotmA,StandardScaler,PCA,All_data,42,,,,,,,0.6743974291078793,0.6671618164213879,0.09646467119365586
LinearRegression,DERStotmA,StandardScaler,FDR,CV,42,0.6986466848572597,0.7548038920824444,-30.60960187151835,4.296596250126819,0.10916393845645647,0.8993927920079829,,,
LinearRegression,DERStotmA,StandardScaler,FDR,All_data,42,,,,,,,0.6743974291078793,0.6671618164213879,0.09646467119365586
LinearRegression,DERStotmA,StandardScaler,Lasso,CV,42,0.6986466848572597,0.7548038920824444,-30.60960187151835,4.296596250126819,0.10916393845645647,0.8993927920079829,,,
LinearRegression,DERStotmA,StandardScaler,Lasso,All_data,42,,,,,,,0.6743974291078793,0.6671618164213879,0.09646467119365586
LinearRegression,DERStotmA,RobustScaler,PCA,CV,41,0.6827801018968932,0.7515950399965116,-34.65135170725075,4.662768965048745,0.11174842354791777,1.0132808944420906,,,
LinearRegression,DERStotmA,RobustScaler,PCA,All_data,41,,,,,,,0.6743974291078793,0.6671618164213879,0.09646467119365586
LinearRegression,DERStotmA,RobustScaler,FDR,CV,41,0.6827801018968932,0.7515950399965116,-34.65135170725075,4.662768965048745,0.11174842354791777,1.0132808944420906,,,
LinearRegression,DERStotmA,RobustScaler,FDR,All_data,41,,,,,,,0.6743974291078793,0.6671618164213879,0.09646467119365586
LinearRegression,DERStotmA,RobustScaler,Lasso,CV,41,0.6827801018968932,0.7515950399965116,-34.65135170725075,4.662768965048745,0.11174842354791777,1.0132808944420906,,,
LinearRegression,DERStotmA,RobustScaler,Lasso,All_data,41,,,,,,,0.6743974291078793,0.6671618164213879,0.09646467119365586
LinearRegression,psatotmA,StandardScaler,PCA,CV,22,0.556627902705053,0.4052670584255605,-2654.8160476858206,-inf,0.10139228685312689,0.7335531433432957,,,
LinearRegression,psatotmA,StandardScaler,PCA,All_data,22,,,,,,,0.4109739149185197,0.37592466179623196,0.11708491057380317
LinearRegression,psatotmA,StandardScaler,FDR,CV,22,0.556627902705053,0.4052670584255605,-2654.8160476858206,-inf,0.10139228685312689,0.7335531433432957,,,
LinearRegression,psatotmA,StandardScaler,FDR,All_data,22,,,,,,,0.4109739149185197,0.37592466179623196,0.11708491057380317
LinearRegression,psatotmA,StandardScaler,Lasso,CV,22,0.556627902705053,0.4052670584255605,-2654.8160476858206,-inf,0.10139228685312689,0.7335531433432957,,,
LinearRegression,psatotmA,StandardScaler,Lasso,All_data,22,,,,,,,0.4109739149185197,0.37592466179623196,0.11708491057380317
LinearRegression,psatotmA,RobustScaler,PCA,CV,20,0.5579803017182098,0.427358312511522,-268.243723411469,-inf,0.10219189816165332,0.7207539274569368,,,
LinearRegression,psatotmA,RobustScaler,PCA,All_data,20,,,,,,,0.4109739149185197,0.37592466179623196,0.11708491057380317
LinearRegression,psatotmA,RobustScaler,FDR,CV,20,0.5579803017182098,0.427358312511522,-268.243723411469,-inf,0.10219189816165332,0.7207539274569368,,,
LinearRegression,psatotmA,RobustScaler,FDR,All_data,20,,,,,,,0.4109739149185197,0.37592466179623196,0.11708491057380317
LinearRegression,psatotmA,RobustScaler,Lasso,CV,20,0.5579803017182098,0.427358312511522,-268.243723411469,-inf,0.10219189816165332,0.7207539274569368,,,
LinearRegression,psatotmA,RobustScaler,Lasso,All_data,20,,,,,,,0.4109739149185197,0.37592466179623196,0.11708491057380317
LinearRegression,cesdtotmA,StandardScaler,PCA,CV,30,0.6722430895400172,0.49961778989043204,-5.791387244659207,2.559362804977099,0.10315105880649739,0.3214496726445336,,,
LinearRegression,cesdtotmA,StandardScaler,PCA,All_data,30,,,,,,,0.5490444920209202,0.4785675941824436,0.12080358649432087
LinearRegression,cesdtotmA,StandardScaler,FDR,CV,30,0.6722430895400172,0.49961778989043204,-5.791387244659207,2.559362804977099,0.10315105880649739,0.3214496726445336,,,
LinearRegression,cesdtotmA,StandardScaler,FDR,All_data,30,,,,,,,0.5490444920209202,0.4785675941824436,0.12080358649432087
LinearRegression,cesdtotmA,StandardScaler,Lasso,CV,30,0.6722430895400172,0.49961778989043204,-5.791387244659207,2.559362804977099,0.10315105880649739,0.3214496726445336,,,
LinearRegression,cesdtotmA,StandardScaler,Lasso,All_data,30,,,,,,,0.5490444920209202,0.4785675941824436,0.12080358649432087
LinearRegression,cesdtotmA,RobustScaler,PCA,CV,28,0.6272185927988713,0.45359110502587163,-51.136953658895116,5.57790521651821,0.10940505691193521,0.5107858233649536,,,
