Model,Target,scaler,Feat Selection,Type,Num of Features,Train_R2_CV,Adj_Train_R2_CV,Val_R2_CV,Adj_Val_R2_CV,Train_RMSE_CV,Val_RMSE_CV,R2(All_X),Adj_R2(All_X),rmse(All_X)
LinearRegression,DERSgmA,StandardScaler,PCA,CV,24,0.4849552317833599,0.3375312610167018,-98.1639111481136,-inf,0.1359090051183914,0.5757479090488111,,,
LinearRegression,DERSgmA,StandardScaler,PCA,All_data,24,,,,,,,0.3941525398063945,0.3377506862573678,0.14770522802485056
LinearRegression,DERSgmA,StandardScaler,FDR,CV,24,0.4849552317833599,0.3375312610167018,-98.1639111481136,-inf,0.1359090051183914,0.5757479090488111,,,
LinearRegression,DERSgmA,StandardScaler,FDR,All_data,24,,,,,,,0.3941525398063945,0.3377506862573678,0.14770522802485056
LinearRegression,DERSgmA,StandardScaler,Lasso,CV,24,0.4849552317833599,0.3375312610167018,-98.1639111481136,-inf,0.1359090051183914,0.5757479090488111,,,
LinearRegression,DERSgmA,StandardScaler,Lasso,All_data,24,,,,,,,0.3941525398063945,0.3377506862573678,0.14770522802485056
LinearRegression,DERSgmA,RobustScaler,PCA,CV,24,0.4679311270836972,0.3315766788553097,-147.39787782378647,-inf,0.13867303329544753,0.8407269355317685,,,
LinearRegression,DERSgmA,RobustScaler,PCA,All_data,24,,,,,,,0.3941525398063945,0.3377506862573678,0.14770522802485056
LinearRegression,DERSgmA,RobustScaler,FDR,CV,24,0.4679311270836972,0.3315766788553097,-147.39787782378647,-inf,0.13867303329544753,0.8407269355317685,,,
LinearRegression,DERSgmA,RobustScaler,FDR,All_data,24,,,,,,,0.3941525398063945,0.3377506862573678,0.14770522802485056
LinearRegression,DERSgmA,RobustScaler,Lasso,CV,24,0.4679311270836972,0.3315766788553097,-147.39787782378647,-inf,0.13867303329544753,0.8407269355317685,,,
LinearRegression,DERSgmA,RobustScaler,Lasso,All_data,24,,,,,,,0.3941525398063945,0.3377506862573678,0.14770522802485056
LinearRegression,DERSstgmA,StandardScaler,PCA,CV,24,0.5970818638633442,0.46331821650945426,-1.4647220564832497,1.0884724271359307,0.12678170011794362,0.31737741435212746,,,
LinearRegression,DERSstgmA,StandardScaler,PCA,All_data,24,,,,,,,0.4443067317092302,0.4210077796282152,0.149394152066187
LinearRegression,DERSstgmA,StandardScaler,FDR,CV,24,0.5970818638633442,0.46331821650945426,-1.4647220564832497,1.0884724271359307,0.12678170011794362,0.31737741435212746,,,
LinearRegression,DERSstgmA,StandardScaler,FDR,All_data,24,,,,,,,0.4443067317092302,0.4210077796282152,0.149394152066187
LinearRegression,DERSstgmA,StandardScaler,Lasso,CV,24,0.5970818638633442,0.46331821650945426,-1.4647220564832497,1.0884724271359307,0.12678170011794362,0.31737741435212746,,,
LinearRegression,DERSstgmA,StandardScaler,Lasso,All_data,24,,,,,,,0.4443067317092302,0.4210077796282152,0.149394152066187
LinearRegression,DERSstgmA,RobustScaler,PCA,CV,22,0.5672491228865332,0.40803752218178624,-3.6084291893760234,1.370522318221745,0.13369843888044525,0.3921632062688006,,,
LinearRegression,DERSstgmA,RobustScaler,PCA,All_data,22,,,,,,,0.4443067317092302,0.4210077796282152,0.149394152066187
LinearRegression,DERSstgmA,RobustScaler,FDR,CV,22,0.5672491228865332,0.40803752218178624,-3.6084291893760234,1.370522318221745,0.13369843888044525,0.3921632062688006,,,
