,variable,relative_importance,scaled_importance,percentage
0,dom_hand,0.26818597316741943,1.0,0.021708310988519285
1,antidepressant,0.266789972782135,0.9947946554818028,0.021595311750915874
2,f_II_10,0.2439252734184265,0.9095377753636362,0.01974452888339981
3,f_SDARR1,0.24077355861663818,0.8977858005509162,0.019489413359436037
4,m_II_IBI,0.23606529831886292,0.8802298477090572,0.019108303275445184
5,dem_det_pregnancy_week,0.21671162545681,0.8080647279845775,0.017541720413942453
6,polyhydramnios,0.21115262806415558,0.7873365842751967,0.017091747424084494
7,f_HR_HIST_TENDENCY,0.20330148935317993,0.7580616053557196,0.01645623707751814
8,m_LF_FINE_NORM,0.20153971016407013,0.7514923610052331,0.016313629878198205
9,f_K_ISIGMOID,0.1934555470943451,0.721348491159071,0.015659257377180266
10,psych_med,0.19106093049049377,0.712419550634816,0.015465425159481747
11,f_pRR50,0.1798214465379715,0.6705102597804958,0.01455564524030786
12,['ethnicity']_Declined to answer,0.17311158776283264,0.6454908350287393,0.01401251578704287
13,f_DELTA_TOTAL,0.15831540524959564,0.590319483826116,0.012814838937479507
14,asthma,0.1575804054737091,0.5875788491568013,0.012755344387772106
15,f_RMSSD,0.15428535640239716,0.5752924158568204,0.012488626672756423
16,m_MF_FINE,0.1542830914258957,0.5752839703125785,0.01248844333425555
17,m_HF_COARSE,0.1542246788740158,0.5750661641716011,0.012483715130812001
18,birth_order,0.1524714231491089,0.5685287017376041,0.012341797863219033
19,stimulant,0.15036971867084503,0.5606919589973272,0.012171675414676083
20,age,0.14857517182826996,0.5540005320692872,0.01202641583796524
21,f_hr_avg,0.13727551698684692,0.5118668786646439,0.011111765386774757
22,['race']_decline to answer,0.13586296141147614,0.5065998038855727,0.010997426089470892
23,m_STI,0.1355631947517395,0.5054820472177044,0.010973161480115316
24,m_hr_detection_rate,0.13448555767536163,0.5014638017306253,0.010885932157453591
25,education,0.13228441774845123,0.49325628848556724,0.010707760907487478
26,f_II_50,0.13016226887702942,0.4853433135959483,0.010535983587739285
27,m_HR_HIST_TENDENCY,0.12879082560539246,0.4802295365574273,0.010424972125461122
28,bladder_infect,0.12636026740074158,0.4711665785811219,0.010228230615235603
29,['race']_Prefer to self-report,0.12550470232963562,0.46797638536929476,0.010158976908879798
30,m_II,0.12398561090230942,0.46231206441549944,0.010036014068076022
31,m_HR_HIST_MIN,0.12398519366979599,0.46231050865734963,0.010035980295194282
32,current_height,0.12278930097818375,0.4578513168603734,0.009939178772908069
33,seizure,0.12173819541931152,0.45393200092278685,0.00985409704367268
34,m_HR_HIST_MEDIAN,0.12097779661417007,0.45109665947610067,0.009792546569789378
35,['ethnicity']_Hispanic/Latinx,0.12090913951396942,0.45084065391626554,0.009786989121481687
36,num_of_prior_diseases,0.11546973139047623,0.43055842938658234,0.00934669628385235
37,f_II_25,0.11395080387592316,0.42489471962348874,0.009223746710966402
38,m_mf_peak_freq,0.10879214107990265,0.40565932585887854,0.008806178801137618
39,m_SDARR1,0.10495069622993469,0.3913355161361013,0.008495233085135194
40,gest_diabetes,0.10338123142719269,0.3854833651671084,0.008368192771948533
41,f_STV_10,0.10079248249530792,0.3758305526008498,0.008158646514846303
42,m_LFHF_RATIO_FINE,0.1003074124455452,0.3740218448446842,0.008119382524388114
43,m_HF_FINE_NORM,0.09838931262493134,0.36686971903452315,0.007964121953072122
44,f_RR50,0.09778738021850586,0.364625260089425,0.007915398540290967
45,f_STV_50,0.09703340381383896,0.3618138662056881,0.007854367927551585
46,f_HF_COARSE,0.09682312607765198,0.36102979187956474,0.007837346998241986
47,f_MF_FINE,0.09651176631450653,0.35986880736024734,0.007812143985243787
48,f_SDRRI1,0.0961492657661438,0.35851713134199253,0.007782801381883788
49,f_SDARR_30sec,0.09542122483253479,0.3558024444961055,0.00772387011559683
50,m_DELTA_TOTAL,0.09225528687238693,0.34399743499931323,0.00746760329821804
51,f_TRIANGULAR_INDEX,0.09179604053497314,0.34228501756006446,0.007430429607904665
52,f_LTI_25,0.09001996368169785,0.3356624607115504,0.0072866650842979734
53,f_STI_50,0.09001315385103226,0.3356370685160334,0.007286113862621009
54,m_SDARR_30sec,0.08986885845661163,0.3350990262287489,0.007274433873323662
55,abn_pap,0.08966611325740814,0.33434303889350925,0.007258022665146898
56,m_HR_HIST_VAR,0.08888773620128632,0.33144066093940233,0.007195016941912922
57,m_HR_HIST_MEAN,0.0886940211057663,0.3307183446555485,0.007179336675390951
58,f_STI_10,0.08852039277553558,0.33007092701405116,0.0071652823318898735
59,f_TP,0.08691421151161194,0.3240818693278725,0.007035270005110126
60,f_LTV_IBI,0.08677779883146286,0.3235732197570617,0.007024228082042788
61,f_HR_HIST_NMAX,0.08579753339290619,0.3199180493282014,0.00694488050565705
62,f_STV_IBI,0.08529786020517349,0.31805489003679144,0.006904434464337973
63,f_LF_COARSE,0.08286675065755844,0.3089898762372167,0.006707648325661585
64,f_RMSSD1,0.07994123548269272,0.29808134459287366,0.0064708425282980825
65,f_STI_25,0.07883241027593613,0.2939468061840942,0.006381088682726321
66,m_HF_FINE,0.07530425488948822,0.2807911763620774,0.006095502179300141
67,f_SDRRI_30sec,0.07465768605470657,0.27838027907634194,0.0060431656712600194
68,f_STV,0.07462352514266968,0.2782529013778239,0.006040400516567587
69,f_LTI_10,0.07406682521104813,0.27617710328500555,0.005995338446019312
70,f_STV_25,0.07146013528108597,0.26645739311830385,0.005784339955002278
71,diabetes,0.07130732387304306,0.26588759669592527,0.005771970637065139
72,m_hr_avg,0.07102467864751816,0.26483368167499144,0.005749091922035235
73,m_RR5,0.07025569677352905,0.26196633606065145,0.005686846691727576
74,m_LF_MFHF_RATIO,0.06969553977251053,0.2598776474003059,0.005641504788730601
75,f_pRR5,0.06918967515230179,0.25799140176920815,0.0056005575819699956
76,m_ALPHA_SI,0.06894449889659882,0.257077199386409,0.005580711792337745
77,f_II_IBI,0.06863373517990112,0.2559184373787342,0.00555555702631346
78,m_PC_SD12RATIO,0.06747507303953171,0.2515980692152356,0.005461769130635334
79,m_SDARR5,0.06694008409976959,0.24960322610899996,0.0054184644561118675
80,f_STI,0.06637688726186752,0.24750320263927703,0.005372876493547933
81,f_TINN,0.0662173479795456,0.24690831961673232,0.005359962587892742
82,m_HR_HIST_NMAX,0.06600732356309891,0.24612518985805706,0.005342962163547056
83,f_LF_FINE,0.06591164320707321,0.24576842117662434,0.00533521731805955
84,f_LFHF_RATIO_FINE,0.06584778428077698,0.24553030683551236,0.0053300482578918645
85,f_RR5,0.06534848362207413,0.24366853661387905,0.005289632370931484
86,['race']_White,0.06165873259305954,0.22991035610415045,0.004990965509790111
87,f_vlf_peak_freq,0.061556559056043625,0.22952937593651085,0.0049826950738305325
88,m_HR_HIST_MODE,0.06076935678720474,0.22659409091939528,0.004918974993839046
89,f_LTI_50,0.05988640710711479,0.2233017871882872,0.00484750464057549
90,m_HR_HIST_WIDTH,0.054455529898405075,0.2030513723564891,0.004407902337760293
91,f_HR_HIST_VAR,0.05429353192448616,0.20244732147341854,0.004394789413337708
92,f_HR_HIST_MEAN,0.05341751500964165,0.19918086833085374,0.004323880232689485
93,f_MEDIANRR,0.04883469641208649,0.18209265695488347,0.003952924025902369
94,['race']_more than one race,0.048491548746824265,0.1808131431115252,0.003925147941476632
95,f_HF_FINE,0.04692016914486885,0.1749538523238804,0.003797952634886273
96,f_LF_MFHF_RATIO,0.04687826335430145,0.17479759586470595,0.003794560571076549
97,m_RR_interval_avg,0.04676857590675354,0.17438859815967145,0.00378568192170207
98,f_HR_HIST_NZEROS,0.044511888176202774,0.16597396072021822,0.0036030143553107815
99,f_LTV_50,0.04423055052757263,0.16492492133420042,0.0035802414820799017
100,f_PC_SD12RATIO,0.04407329484820366,0.16433855330938651,0.0035675124226435175
101,m_porousness,0.042276378720998764,0.15763829189756712,0.003422061064211367
102,f_STI_IBI,0.04176162928342819,0.15571891695229645,0.0033803946759958592
103,m_hf_peak_freq,0.03848994895815849,0.14351961999940438,0.003115568543901182
104,m_MEDIANRR,0.03785215690732002,0.14114144919760663,0.0030639424725519403
105,f_LTI,0.03740215301513672,0.13946349457951634,0.0030275169118778146
106,f_LTV,0.0371391698718071,0.13848289466139369,0.0030062297438998914
107,m_LTI,0.03698081895709038,0.13789244277143645,0.002993412030648941
108,m_PC_SD1,0.035198457539081573,0.13124645231579046,0.0028491388030110463
109,m_SDRRI_30sec,0.03423883765935898,0.12766826413395166,0.0027714623811842453
110,body_BMI,0.032928355038166046,0.12278179447368034,0.0026653853781631117
111,f_PC_S,0.03287703916430473,0.12259045011194791,0.002661231615252724
112,gest_hyp,0.030782030895352364,0.11477867590090621,0.002491651191307336
113,f_II,0.029245050624012947,0.10904765181643654,0.0023672403381989745
114,m_LF_COARSE,0.029130635783076286,0.10862102681593648,0.0023579790300126417
115,m_lf_peak_freq,0.029023680835962296,0.10822221793771367,0.0023493215628591986
116,f_hr_detection_rate,0.028818082064390182,0.10745559032798493,0.002332679372294822
