metric,model,K-Fold,mean,sd,cv_1_valid,cv_2_valid,cv_3_valid,cv_4_valid,cv_5_valid,cv_6_valid,cv_7_valid,cv_8_valid,cv_9_valid,cv_10_valid
accuracy,GLM_1_AutoML_20210722_140502,5,0.77111113,0.21337962,0.4,0.9,0.8888889,0.8888889,0.7777778,,,,,
accuracy,GLM_1_AutoML_20210722_140608,10,0.515,0.39864352,0.4,0.6,0.6,0.0,0.8,0.0,0.0,1.0,1.0,0.75
auc,GLM_1_AutoML_20210722_140502,5,0.70357144,0.2265887,0.375,0.8888889,0.64285713,0.9444444,0.6666667,,,,,
auc,GLM_1_AutoML_20210722_140608,10,0.63095236,0.30374646,0.16666667,0.5,0.5,NaN,0.75,NaN,NaN,1.0,1.0,0.5
err,GLM_1_AutoML_20210722_140502,5,0.22888888,0.21337962,0.6,0.1,0.11111111,0.11111111,0.22222222,,,,,
err,GLM_1_AutoML_20210722_140608,10,0.21744294,0.21299787,0.6,0.4,0.4,0.001177337,0.2,0.31390834,0.009343761,0.0,0.0,0.25
err_count,GLM_1_AutoML_20210722_140502,5,2.2,2.1679482,6.0,1.0,1.0,1.0,2.0,,,,,
err_count,GLM_1_AutoML_20210722_140608,10,1.2857143,1.1126972,3.0,2.0,2.0,NaN,1.0,NaN,NaN,0.0,0.0,1.0
f0point5,GLM_1_AutoML_20210722_140502,5,0.6249308,0.21534765,0.29411766,0.5555556,0.8333333,0.7894737,0.65217394,,,,,
f0point5,GLM_1_AutoML_20210722_140608,10,0.45667937,0.37134337,0.45454547,0.3846154,0.3846154,3.3104473E-6,0.5555556,0.0728553,3.1769276E-4,1.0,1.0,0.71428573
f1,GLM_1_AutoML_20210722_140502,5,0.66809523,0.16906103,0.4,0.6666667,0.6666667,0.85714287,0.75,,,,,
f1,GLM_1_AutoML_20210722_140608,10,1.4148568,1.1333177,0.5714286,0.5,0.5,3.0368242,0.6666667,3.0368242,3.0368242,1.0,1.0,0.8
f2,GLM_1_AutoML_20210722_140502,5,0.76674837,0.16706967,0.625,0.8333333,0.5555556,0.9375,0.88235295,,,,,
f2,GLM_1_AutoML_20210722_140608,10,0.59402263,0.4222145,0.7692308,0.71428573,0.71428573,0.0,0.8333333,0.0,0.0,1.0,1.0,0.90909094
lift_top_group,GLM_1_AutoML_20210722_140608,10,-Infinity,NaN,0.0,0.0,0.0,-Infinity,0.0,-Infinity,-Infinity,4.0,1.3333334,0.0
lift_top_group,GLM_1_AutoML_20210722_140502,5,1.5,2.1213202,0.0,0.0,4.5,3.0,0.0,,,,,
logloss,GLM_1_AutoML_20210722_140608,10,0.75890315,0.893652,0.76843363,0.44401723,0.50369775,0.01177337,0.3308865,3.1390834,0.09343761,0.44035667,1.0139165,0.84342873
logloss,GLM_1_AutoML_20210722_140502,5,0.4592033,0.12743653,0.5159414,0.24481894,0.51305884,0.44988704,0.5723104,,,,,
max_per_class_error,GLM_1_AutoML_20210722_140608,10,0.30395606,0.32690185,1.0,0.5,0.5,0.0018194634,0.25,0.26991722,0.017823936,0.0,0.0,0.5
max_per_class_error,GLM_1_AutoML_20210722_140502,5,0.37222221,0.26028237,0.75,0.11111111,0.5,0.16666667,0.33333334,,,,,
mcc,GLM_1_AutoML_20210722_140608,10,0.44513547,0.39660376,NaN,0.4082483,0.4082483,,0.61237246,,,1.0,1.0,0.57735026
mcc,GLM_1_AutoML_20210722_140502,5,0.60022587,0.2049932,0.25,0.6666667,0.6614378,0.7905694,0.6324555,,,,,
mean_per_class_accuracy,GLM_1_AutoML_20210722_140608,10,0.5625,0.41352987,0.5,0.75,0.75,,0.875,,,1.0,1.0,0.75
mean_per_class_accuracy,GLM_1_AutoML_20210722_140502,5,0.8138889,0.13014118,0.625,0.9444444,0.75,0.9166667,0.8333333,,,,,
mean_per_class_error,GLM_1_AutoML_20210722_140608,10,0.1375,0.17129004,0.5,0.25,0.25,,0.125,,,0.0,0.0,0.25
mean_per_class_error,GLM_1_AutoML_20210722_140502,5,0.18611111,0.13014118,0.375,0.055555556,0.25,0.083333336,0.16666667,,,,,
mse,GLM_1_AutoML_20210722_140608,10,0.14386518,0.12203839,0.27723008,0.14363423,0.161346,,0.11598321,,,0.1303452,0.2834767,0.32663643
mse,GLM_1_AutoML_20210722_140502,5,0.14890286,0.052661553,0.1658193,0.076898046,0.16596204,0.11991763,0.21591732,,,,,
null_deviance,GLM_1_AutoML_20210722_140608,10,4.494857,3.5683606,7.6087527,5.0456386,5.0456386,,5.0456386,,,4.5053854,10.502255,7.1952605
null_deviance,GLM_1_AutoML_20210722_140502,5,10.463778,1.7049763,10.114188,8.288124,9.545511,12.185533,12.185533,,,,,
pr_auc,GLM_1_AutoML_20210722_140608,10,0.33955058,0.37761512,0.25981957,0.18906978,0.18906978,,0.30685282,,,1.0,1.0,0.45069385
pr_auc,GLM_1_AutoML_20210722_140502,5,0.47356805,0.29277527,0.15311871,0.30685282,0.6146233,0.90410596,0.3891395,,,,,
precision,GLM_1_AutoML_20210722_140502,5,0.62,0.27973202,0.25,0.5,1.0,0.75,0.6,,,,,
precision,GLM_1_AutoML_20210722_140608,10,0.42333335,0.37779412,0.4,0.33333334,0.33333334,,0.5,,,1.0,1.0,0.6666667
r2,GLM_1_AutoML_20210722_140608,10,-0.029974278,0.2472518,-0.15512533,0.10228611,-0.008412556,,0.27510494,,,0.30482563,-0.5118758,-0.30654573
r2,GLM_1_AutoML_20210722_140502,5,0.12754808,0.197169,-0.036370657,0.14557727,0.03979105,0.46037066,0.028372062,,,,,
recall,GLM_1_AutoML_20210722_140608,10,0.7,0.4830459,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0
recall,GLM_1_AutoML_20210722_140502,5,0.9,0.2236068,1.0,1.0,0.5,1.0,1.0,,,,,
residual_deviance,GLM_1_AutoML_20210722_140608,10,3.8851967,3.1246042,7.684336,4.440172,5.036978,,3.308865,,,3.5228534,8.111332,6.74743
residual_deviance,GLM_1_AutoML_20210722_140502,5,8.569963,2.2481885,10.318829,4.896379,9.235059,8.097966,10.301586,,,,,
rmse,GLM_1_AutoML_20210722_140608,10,0.31127396,0.2284579,0.52652645,0.37899107,0.40167898,,0.3405631,,,0.3610335,0.53242534,0.57152116
rmse,GLM_1_AutoML_20210722_140502,5,0.38057175,0.071309194,0.40720916,0.27730498,0.4073844,0.34629124,0.46466905,,,,,
specificity,GLM_1_AutoML_20210722_140502,5,0.7277778,0.2929206,0.25,0.8888889,1.0,0.8333333,0.6666667,,,,,
specificity,GLM_1_AutoML_20210722_140608,10,0.425,0.4090979,0.0,0.5,0.5,,0.75,,,1.0,1.0,0.5
